address,complement,district,city,uf,cep
"Rua Coelho Lisboa, 574",,Tatuapé,São Paulo,SP,03323-040
"Av. Indianópolis, 100",,Indianópolis,São Paulo,SP,04062-000
"Av. Pacaembú, 380",,Barra Funda,São Paulo,SP,01155-000
"Av. Ulisses Reis de Matos, 100",,Morumbi,São Paulo,SP,00568-602
"Av. Moreira Guimarães, 367",,Moema,São Paulo,SP,04074-030
"Rua Padre Machado, 68",,Vila Mariana,São Paulo,SP,04127-001
"Est Itapecerica, 2925",,Centro,São Paulo,SP,05835-005
"Av 23 de Maio, 3041",,Vila Mariana,São Paulo,SP,04008-090
"Rua Colômbia, 810",,Jardim América,São Paulo,SP,01438-001
"Av Pedroso de Morais, 1552",,Pinheiros,São Paulo,SP,05420-002
"Av dos Bandeirantes, 1729",,Vila Olímpia,São Paulo,SP,04553-010
"Rua Itinguçu, 1288",,Vila Ré,São Paulo,SP,03658-000
"Av Morumbi, 7600",,Santo Amaro,São Paulo,SP,04703-000
"Av Morumbi, 6989",,Morumbi,São Paulo,SP,05650-002
"Av Prof Francisco Morato, 1706",,Butantã,São Paulo,SP,05512-200
"Av Giovanni Gronchi, 2911",,Morumbi,São Paulo,SP,05651-002
"Av Europa, 725",,Jardim Europa,São Paulo,SP,01449-000
"Rua Colômbia, 659",,Jardim América,São Paulo,SP,01438-001
"Av Prof Vicente Ráo, 915",,Jardim Petrópolis,São Paulo,SP,04636-000
"Av Braz Leme, 268",,Casa Verde,São Paulo,SP,02511-000
"Rua Gomes de Carvalho, 421",,Vila Olímpia,São Paulo,SP,04547-001
"Av Interlagos, 1550",,Jardim Marajoara,São Paulo,SP,04660-001
"Rua Ulysses Reis de Mattos, 100",,Real Parque,São Paulo,SP,05686-020
"Av das Nações Unidas, 17471",,Vila Almeida,São Paulo,SP,04795-100
"Avenida Maria Coelho Aguiar, 215",,Jardim São Luís,São Paulo,SP,05804-925
"Avenida das Nações Unidas, 22540",,Alto de Pinheiros,São Paulo,SP,05307-085
"Rua Manoel José Viana, 94",,Vila Ivone,São Paulo,SP,03282-035
"Rua Dona Maria Custódia, 319",,Santa Terezinha,São Paulo,SP,02460-070
"Avenida Robert Kennedy, 188",,Socorro,São Paulo,SP,04768-000
"Av Eng Caetano Alvares, 3916",,Limão,São Paulo,SP,00000-000
"Av Morumbi, 7766",,Santo Amaro,São Paulo,SP,04703-000
"Av Roland Garros, 1853",,Jardim Brasil,São Paulo,SP,00000-000
"Av Nazaré, 1070",,Ipiranga,São Paulo,SP,04262-200
"Avenida das Nacoes Unidas, 19667",,Vila Almeida,São Paulo,SP,04795-100
"Av Morvan Dias de Figueiredo, 1175",,Vila Guilherme,São Paulo,SP,02170-000
"Av Prof Luiz Ignácio Anhaia Mello, 2560",,Jardim Avelino,São Paulo,SP,03154-100
"Av Jabaquara, 2177",,Mirandópolis,São Paulo,SP,04045-003
"Pç Br de Tietê, 115",,Belenzinho,São Paulo,SP,03163-050
"Av Otaviano Alves de Lima, 3972",,Nossa Senhora do Ó,São Paulo,SP,02901-000
"Av Pacaembu, 380",,Barra Funda,São Paulo,SP,01155-000
"Av Dr Ricardo Jafet, 2419",,Vila Firmiano Pinto,São Paulo,SP,04123-030
"Av Rio Branco, 1457",,Campos Elíseos,São Paulo,SP,01205-001
"Av Profº Luiz Ignacio Anhaia Mello, 4470",,Jardim Idependência,São Paulo,SP,03294-100
"Al Olga, 259",,Barra Funda,São Paulo,SP,01155-040
"Av Dr Gastão Vidigal, 1595",,Vila Leopoldina,São Paulo,SP,05314-000
"Rua Clélia, 1000",,Água Branca,São Paulo,SP,05042-000
"Av Ermano Marchetti, 596",,Água Branca,São Paulo,SP,05038-000
"Av Conselheiro Carrão, 1306",,Carrão,São Paulo,SP,03402-001
"Avenida Doutor Gastão Vidigal, 300",,Vila Leopoldina,São Paulo,SP,05314-000
"Rua Colômbia, 368",,Jardim América,São Paulo,SP,01438-000
"Rua Zaki Narchi, 1185",,Santana,São Paulo,SP,02029-001
"Av Prof Vicente Ráo, 915",,Jardim Petrópolis,São Paulo,SP,04636-000
"Avenida Mutinga, 5654",,Jardim Santo Elias,São Paulo,SP,05110-000
"Av Dr Ricardo Jafet, 2419",,Vila Firmiano Pinto,São Paulo,SP,04123-030
"Av Aricanduva, 5555",,Vila Aricanduva,São Paulo,SP,03527-000
"Av Dr Ricardo Jafet, 2419",,Vila Firmiano Pinto,São Paulo,SP,04123-030
"Av Dr Ricardo Jafet, 2419",,Vila Firmiano Pinto,São Paulo,SP,04123-030
"Rua Vergueiro, 5002",,Vila Mariana,São Paulo,SP,04102-002
"Av Dr Ricardo Jafet, 2419",,Ipiranga,São Paulo,SP,00000-000
"Av das Carinas, 656",,Indianópolis,São Paulo,SP,04086-011
"Av Prof Luiz Ignácio Anhaia Mello, 4215",,Vila Graciosa,São Paulo,SP,03295-000
"Rua Joinville, 399",,Vila Mariana,São Paulo,SP,04008-010
"R Cumai, 122",,Vila Esperança,São Paulo,SP,03649-040
